"MSOA11CD","total_beds"
"E02000001",11
"E02000002",64
"E02000003",0
"E02000004",132
"E02000005",0
"E02000007",62
"E02000008",0
"E02000009",64
"E02000010",0
"E02000011",82
"E02000012",3
"E02000013",0
"E02000014",45
"E02000015",46
"E02000016",0
"E02000017",45
"E02000018",0
"E02000019",43
"E02000020",5
"E02000021",108
"E02000022",12
"E02000023",10
"E02000024",128
"E02000025",0
"E02000026",11
"E02000027",112
"E02000028",45
"E02000029",0
"E02000030",99
"E02000031",162
"E02000032",22
"E02000033",6
"E02000034",48
"E02000035",155
"E02000036",54
"E02000037",0
"E02000038",281
"E02000039",0
"E02000040",0
"E02000041",57
"E02000042",227
"E02000043",43
"E02000044",0
"E02000045",0
"E02000046",30
"E02000047",77
"E02000048",65
"E02000049",0
"E02000050",8
"E02000051",0
"E02000052",0
"E02000053",23
"E02000054",118
"E02000055",8
"E02000056",205
"E02000057",54
"E02000058",16
"E02000059",102
"E02000060",173
"E02000061",127
"E02000062",92
"E02000063",86
"E02000064",0
"E02000065",78
"E02000066",47
"E02000067",11
"E02000068",8
"E02000069",34
"E02000070",0
"E02000071",12
"E02000072",0
"E02000073",0
"E02000074",106
"E02000075",0
"E02000077",80
"E02000078",0
"E02000079",220
"E02000080",0
"E02000081",55
"E02000082",0
"E02000083",21
"E02000084",8
"E02000085",0
"E02000086",0
"E02000087",16
"E02000088",0
"E02000089",152
"E02000090",291
"E02000091",354
"E02000092",76
"E02000093",64
"E02000094",4
"E02000095",5
"E02000096",27
"E02000097",0
"E02000098",159
"E02000099",3
"E02000100",27
"E02000101",183
"E02000102",9
"E02000103",9
"E02000104",82
"E02000105",25
"E02000106",7
"E02000107",0
"E02000108",22
"E02000109",6
"E02000110",5
"E02000111",84
"E02000112",83
"E02000113",0
"E02000114",4
"E02000115",41
"E02000116",8
"E02000117",63
"E02000118",4
"E02000119",24
"E02000120",0
"E02000121",0
"E02000122",6
"E02000123",0
"E02000124",8
"E02000125",0
"E02000126",27
"E02000127",38
"E02000128",47
"E02000130",12
"E02000131",0
"E02000132",36
"E02000133",66
"E02000134",68
"E02000135",182
"E02000136",143
"E02000137",178
"E02000138",7
"E02000139",0
"E02000140",75
"E02000141",5
"E02000142",143
"E02000144",5
"E02000145",0
"E02000146",36
"E02000147",0
"E02000148",140
"E02000149",0
"E02000150",100
"E02000151",0
"E02000152",12
"E02000153",0
"E02000154",0
"E02000155",0
"E02000156",73
"E02000157",0
"E02000158",0
"E02000159",0
"E02000160",68
"E02000161",28
"E02000162",84
"E02000163",0
"E02000165",0
"E02000166",0
"E02000167",0
"E02000168",86
"E02000169",46
"E02000170",32
"E02000171",0
"E02000172",60
"E02000173",0
"E02000174",0
"E02000175",0
"E02000176",0
"E02000177",60
"E02000178",0
"E02000179",20
"E02000180",13
"E02000181",0
"E02000182",34
"E02000183",0
"E02000184",0
"E02000185",8
"E02000186",0
"E02000187",0
"E02000188",0
"E02000189",0
"E02000190",0
"E02000191",0
"E02000192",0
