MSOA11CD,March20,April20,May20,June20,July20,August20,September20,October20,November20,December20,January21,February21,March21,April21,Up_to_April21
E02000001,1,2,1,0,0,0,0,0,0,1,3,3,0,0,11
E02000002,1,7,0,0,0,0,0,0,6,8,11,7,1,1,42
E02000003,0,7,1,0,0,0,1,1,1,1,10,3,0,0,25
E02000004,2,8,2,0,0,0,0,0,1,1,6,3,0,1,24
E02000005,2,4,1,0,0,0,0,0,2,4,8,1,0,0,22
E02000007,5,5,2,1,0,0,0,0,2,4,10,1,0,0,30
E02000008,0,11,0,0,0,0,0,0,3,5,9,7,1,0,36
E02000009,0,7,0,0,0,0,0,1,3,4,3,4,0,0,22
E02000010,0,7,0,0,0,0,0,0,0,2,9,3,1,0,22
E02000011,1,7,2,2,0,0,1,0,2,1,6,2,0,0,24
E02000012,0,5,1,1,0,0,1,0,1,4,14,7,0,0,34
E02000013,0,3,0,0,0,0,0,0,1,3,7,0,0,0,14
E02000014,0,4,2,0,0,0,0,1,4,2,8,5,1,0,27
E02000015,0,4,0,0,0,0,0,0,1,2,8,4,2,1,22
E02000016,0,1,0,0,0,0,0,0,0,1,2,0,1,0,5
E02000017,0,5,1,0,0,0,0,0,1,4,3,4,0,0,18
E02000018,2,9,2,0,0,0,0,0,2,2,7,1,0,0,25
E02000019,0,6,2,0,0,0,0,0,1,1,5,2,0,0,17
E02000020,0,5,0,0,0,0,0,1,1,5,11,4,0,0,27
E02000021,0,6,0,0,0,0,1,0,2,5,7,3,1,0,25
E02000022,1,2,1,0,0,0,0,0,0,2,2,1,0,0,9
E02000023,1,1,2,0,0,0,0,1,1,2,4,2,0,0,14
E02000024,0,10,2,0,1,0,1,0,4,1,9,1,1,0,30
E02000025,3,12,0,0,0,0,0,0,3,1,8,2,0,0,29
E02000026,0,5,2,0,0,0,0,0,0,1,7,0,0,0,15
E02000027,1,11,2,0,0,0,0,0,1,7,5,3,0,0,30
E02000028,1,4,4,1,0,0,0,0,0,0,7,1,0,0,18
E02000029,0,8,1,0,0,0,0,0,1,0,3,1,0,0,14
E02000030,2,5,3,0,0,0,0,0,0,3,6,2,0,0,21
E02000031,1,13,0,0,0,0,0,0,0,2,3,0,0,0,19
E02000032,0,5,1,0,0,0,0,0,0,1,11,2,0,0,20
E02000033,0,6,1,1,0,0,0,0,1,2,5,2,0,0,18
E02000034,0,9,0,0,0,0,0,1,0,1,15,2,0,0,28
E02000035,0,19,3,0,0,0,0,0,0,1,2,0,0,0,25
E02000036,3,8,1,0,0,0,0,0,2,0,9,3,0,0,26
E02000037,5,9,0,0,0,0,0,2,0,0,4,6,0,0,26
E02000038,0,25,0,0,0,0,0,0,7,6,16,2,0,0,56
E02000039,2,5,0,0,0,0,0,0,0,0,2,1,0,0,10
E02000040,2,9,0,0,0,0,1,0,0,1,1,2,2,0,18
E02000041,2,8,5,0,1,0,0,1,0,0,5,2,2,0,26
E02000042,4,12,3,0,0,0,0,0,2,2,13,2,1,1,40
E02000043,0,7,0,0,0,1,0,0,0,1,3,2,0,0,14
E02000044,1,4,0,0,0,0,0,0,0,2,5,4,1,0,17
E02000045,0,4,0,0,0,0,0,0,2,0,7,1,0,0,14
E02000046,2,2,1,0,0,0,0,0,0,0,4,1,0,0,10
E02000047,0,9,1,0,0,0,0,1,1,1,8,5,3,0,29
E02000048,0,4,1,0,0,0,0,0,0,2,7,1,1,1,17
E02000049,0,6,1,0,0,0,0,0,0,0,4,3,1,0,15
E02000050,1,5,1,0,0,0,0,0,0,0,5,3,2,0,17
E02000051,2,9,1,0,0,0,0,0,0,2,11,0,1,0,26
E02000052,1,4,2,0,0,0,0,0,0,3,3,1,0,0,14
E02000053,0,4,1,0,0,0,0,0,0,0,4,1,0,0,10
E02000054,1,8,0,0,0,0,0,0,0,0,2,4,0,0,15
E02000055,1,8,4,0,0,0,0,0,0,0,5,7,2,0,27
E02000056,1,9,4,0,0,0,0,0,2,1,7,0,1,0,25
E02000057,2,8,1,1,0,0,0,0,0,3,4,0,1,0,20
E02000058,1,6,1,0,0,0,0,0,0,0,5,3,0,1,17
E02000059,2,12,1,2,0,0,0,0,1,0,11,3,0,0,32
E02000060,1,11,0,0,0,0,0,0,0,1,7,1,0,0,21
E02000061,3,10,4,1,0,0,0,0,0,0,1,1,1,1,22
E02000062,1,4,0,0,0,0,0,0,0,3,7,2,0,0,17
E02000063,0,4,3,0,0,0,0,0,0,3,4,3,0,0,17
E02000064,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
E02000065,0,3,1,0,0,0,1,0,1,0,6,2,2,1,17
E02000066,1,3,4,1,0,0,0,1,1,2,4,5,0,0,22
E02000067,0,4,2,0,0,0,0,0,1,0,2,0,1,0,10
E02000068,0,5,0,0,0,0,0,0,0,2,3,1,0,0,11
E02000069,2,3,0,0,0,0,0,0,2,0,4,1,0,0,12
E02000070,0,2,2,0,0,0,0,0,0,1,6,1,0,0,12
E02000071,0,2,1,1,0,1,0,0,0,0,8,1,1,0,15
E02000072,0,1,1,2,0,0,0,0,1,3,3,3,0,0,14
E02000073,0,12,3,0,0,0,0,1,1,4,10,3,3,0,37
E02000074,0,8,2,0,1,0,0,1,2,3,8,8,1,0,34
E02000075,0,4,0,0,1,1,0,1,1,2,7,3,2,0,22
E02000077,0,9,0,0,0,0,0,0,1,0,6,1,0,0,17
E02000078,0,4,0,0,0,0,0,1,2,2,14,2,2,0,27
E02000079,2,19,4,0,0,0,0,0,0,2,11,5,1,0,44
E02000080,0,1,1,0,0,0,0,0,0,3,8,5,2,0,20
E02000081,0,5,1,0,0,1,0,0,1,2,13,5,0,0,28
E02000082,0,6,1,0,0,0,0,0,1,2,9,1,0,1,21
E02000083,0,3,1,2,2,1,1,1,1,2,2,3,0,1,20
E02000084,0,5,0,1,1,0,0,1,0,1,7,3,1,0,20
E02000085,0,2,1,0,0,0,0,0,2,0,2,1,0,0,8
E02000086,0,5,0,0,0,0,0,0,0,1,7,2,0,0,15
E02000087,1,2,1,1,1,0,0,0,3,1,4,2,0,0,16
E02000088,0,2,0,0,0,0,0,0,0,2,1,3,0,0,8
