msoa11cd,n_care_homes
E02004937,2
E02004936,2
E02004940,2
E02004939,1
E02004935,1
E02004934,3
E02004933,1
E02004938,1
E02004991,4
E02004989,5
E02004990,4
E02004992,2
E02004993,3
E02004981,5
E02004941,6
E02004899,4
E02004943,6
E02004942,2
E02004900,2
E02004929,1
E02004930,2
E02004932,1
E02004927,1
E02004928,0
E02004856,1
E02003651,2
E02004931,0
E02004923,3
E02004925,1
E02004926,4
E02004924,2
E02004887,0
E02004980,2
E02004982,1
E02004986,1
E02004879,1
E02004984,3
E02004985,1
E02004983,0
E02004987,2
E02004988,0
E02004994,0
E02006899,0
E02006896,2
E02001876,0
E02006895,1
E02006898,0
E02006897,0
E02001897,1
E02001896,0
E02001903,0
E02006901,1
E02001884,0
E02001904,6
E02006900,2
E02001889,1
E02001892,0
E02001909,1
E02001910,0
E02001908,0
E02001915,6
E02001916,2
E02001923,5
E02001919,7
E02001918,10
E02001914,3
E02001900,4
E02001930,0
E02001937,4
E02001931,0
E02001936,4
E02001941,2
E02001943,1
E02001933,3
E02001948,2
E02002101,2
E02001944,4
E02001947,2
E02001949,3
E02006700,8
E02006699,2
E02001890,7
E02001905,4
E02001913,5
E02001922,0
E02001901,0
E02001886,8
E02001879,3
E02002068,2
E02001875,1
E02001906,0
E02001921,1
E02001899,1
E02002076,0
E02001873,3
E02001865,0
E02001866,1
E02001861,5
E02001867,0
E02006809,5
E02001858,7
E02001860,0
E02001859,1
E02001850,2
E02001862,1
E02002065,2
E02002062,6
E02001849,1
E02001840,4
E02001846,1
E02001844,15
E02001848,2
E02001836,1
E02001857,9
E02001856,2
E02001852,2
E02001851,4
E02001854,3
E02001841,3
E02001855,2
E02001869,0
E02001870,3
E02001893,1
E02001902,0
E02002090,0
E02001898,0
E02001907,1
E02001888,3
E02001895,4
E02002089,10
E02002091,0
E02002093,4
E02001929,0
E02001924,1
E02006807,1
E02001934,1
E02002094,3
E02001925,5
E02001935,1
E02001927,3
E02001932,0
E02001939,2
