"MSOA11CD","crimes"
"E02000001",2764.11111111111
"E02000002",425.444444444444
"E02000003",570
"E02000004",157.111111111111
"E02000005",415.444444444444
"E02000007",622.444444444444
"E02000008",467
"E02000009",362.444444444444
"E02000010",241.111111111111
"E02000011",315.333333333333
"E02000012",369.444444444444
"E02000013",382.777777777778
"E02000014",489.888888888889
"E02000015",601.222222222222
"E02000016",1627.88888888889
"E02000017",394.444444444444
"E02000018",493.444444444444
"E02000019",463.555555555556
"E02000020",759.444444444444
"E02000021",423.333333333333
"E02000022",482.444444444444
"E02000023",439.888888888889
"E02000024",486.222222222222
"E02000025",391.333333333333
"E02000026",143.444444444444
"E02000027",360
"E02000028",217.777777777778
"E02000029",493
"E02000030",312.222222222222
"E02000031",259
"E02000032",155.222222222222
"E02000033",309.666666666667
"E02000034",306.666666666667
"E02000035",304.555555555556
"E02000036",368.888888888889
"E02000037",277.555555555556
"E02000038",438.222222222222
"E02000039",349.888888888889
"E02000040",321.222222222222
"E02000041",548.333333333333
"E02000042",649.333333333333
"E02000043",121.111111111111
"E02000044",235.444444444444
"E02000045",548.555555555556
"E02000046",366.111111111111
"E02000047",890.333333333333
"E02000048",353.666666666667
"E02000049",447.333333333333
"E02000050",459.444444444444
"E02000051",369.333333333333
"E02000052",348.777777777778
"E02000053",785
"E02000054",345.333333333333
"E02000055",675.666666666667
"E02000056",283.888888888889
"E02000057",290.666666666667
"E02000058",410.666666666667
"E02000059",519.222222222222
"E02000060",344.555555555556
"E02000061",510.666666666667
"E02000062",854.222222222222
"E02000063",380.444444444444
"E02000064",232.555555555556
"E02000065",402.222222222222
"E02000066",494
"E02000067",565
"E02000068",931.555555555556
"E02000069",230
"E02000070",213.333333333333
"E02000071",265.666666666667
"E02000072",655.888888888889
"E02000073",224
"E02000074",309.444444444444
"E02000075",177.777777777778
"E02000077",186.777777777778
"E02000078",190.666666666667
"E02000079",645
"E02000080",353.444444444444
"E02000081",357
"E02000082",177.111111111111
"E02000083",837.777777777778
"E02000084",277.444444444444
"E02000085",221.222222222222
"E02000086",169.555555555556
"E02000087",251.444444444444
"E02000088",160.333333333333
"E02000089",140.888888888889
"E02000090",479.777777777778
"E02000091",355.111111111111
"E02000092",357.333333333333
"E02000093",348.777777777778
"E02000094",410.444444444444
"E02000095",468
"E02000096",230.555555555556
"E02000097",270.555555555556
"E02000098",238.555555555556
"E02000099",328.555555555556
"E02000100",309.666666666667
"E02000101",621.222222222222
"E02000102",391.333333333333
"E02000103",509.888888888889
"E02000104",248.555555555556
"E02000105",384.888888888889
"E02000106",631.555555555556
"E02000107",680.222222222222
"E02000108",189.111111111111
"E02000109",676.888888888889
"E02000110",360.777777777778
"E02000111",303.444444444444
"E02000112",769.555555555556
"E02000113",618.222222222222
"E02000114",481.111111111111
"E02000115",492.888888888889
"E02000116",603.333333333333
"E02000117",790.111111111111
"E02000118",487.444444444444
"E02000119",711
"E02000120",768.222222222222
"E02000121",485
"E02000122",282.222222222222
"E02000123",1562.22222222222
"E02000124",703.555555555556
"E02000125",381.888888888889
"E02000126",406
"E02000127",470.555555555556
"E02000128",228.888888888889
"E02000130",507.444444444444
"E02000131",905.777777777778
"E02000132",772.666666666667
"E02000133",295.333333333333
"E02000134",886.111111111111
"E02000135",732
"E02000136",245.666666666667
"E02000137",234.666666666667
"E02000138",276.111111111111
"E02000139",304.111111111111
"E02000140",545.111111111111
"E02000141",274.444444444444
"E02000142",226.666666666667
"E02000144",1138.77777777778
"E02000145",597.333333333333
"E02000146",288.222222222222
"E02000147",117.666666666667
"E02000148",159.555555555556
"E02000149",374.888888888889
"E02000150",377.555555555556
"E02000151",140.333333333333
"E02000152",338.888888888889
"E02000153",145.333333333333
"E02000154",553.222222222222
"E02000155",187.777777777778
"E02000156",282.333333333333
"E02000157",139.888888888889
"E02000158",288.444444444444
"E02000159",283.333333333333
"E02000160",238.888888888889
"E02000161",135.777777777778
"E02000162",222.666666666667
"E02000163",177.555555555556
"E02000165",158.666666666667
"E02000166",506.333333333333
"E02000167",464.333333333333
"E02000168",494.111111111111
"E02000169",184.444444444444
"E02000170",402.666666666667
"E02000171",468.666666666667
"E02000172",542
"E02000173",594.555555555556
"E02000174",425.555555555556
"E02000175",728.888888888889
"E02000176",312.888888888889
"E02000177",538
"E02000178",552.333333333333
"E02000179",347.888888888889
"E02000180",582.333333333333
"E02000181",278.666666666667
"E02000182",463.111111111111
"E02000183",774.555555555556
"E02000184",823.111111111111
"E02000185",759.666666666667
"E02000186",1298.55555555556
"E02000187",1489
"E02000188",765.555555555556
"E02000189",656.555555555556
"E02000190",628.888888888889
"E02000191",1740.33333333333
"E02000192",677.222222222222
"E02000193",3456.11111111111
"E02000194",524.555555555556
"E02000195",334.555555555556
"E02000196",351.111111111111
"E02000197",418.888888888889
"E02000198",470.555555555556
"E02000199",355
"E02000200",519
"E02000201",611.333333333333
"E02000202",267.555555555556
"E02000203",541.666666666667
"E02000204",429.666666666667
"E02000206",666.777777777778
"E02000207",454.222222222222
"E02000208",946.222222222222
"E02000209",411.111111111111
"E02000210",315.777777777778
"E02000211",196.444444444444
"E02000212",470.333333333333
"E02000213",1817.22222222222
"E02000214",197.777777777778
"E02000215",809.666666666667
"E02000216",274
"E02000217",1588.22222222222
"E02000218",258.333333333333
"E02000219",280.333333333333
"E02000220",1967.22222222222
"E02000221",765.777777777778
"E02000222",321.666666666667
"E02000223",309.666666666667
"E02000224",316.333333333333
"E02000225",278.888888888889
"E02000226",146.333333333333
"E02000227",302.666666666667
"E02000228",119.555555555556
"E02000229",303.666666666667
"E02000230",640.666666666667
"E02000231",132.888888888889
