MSOA11CD,deaths_percent_change_from_avg,excess_deaths_count
E02000001,21.73913043,10
E02000002,46.91358025,38
E02000003,17.85714286,15
E02000004,-1.086956522,-1
E02000005,40.6779661,24
E02000007,3.06122449,3
E02000008,11.11111111,11
E02000009,31.66666667,19
E02000010,26.66666667,16
E02000011,22.98850575,20
E02000012,47.14285714,33
E02000013,5.172413793,3
E02000014,72.85714286,51
E02000015,13.1147541,8
E02000016,58.33333333,14
E02000017,21.42857143,9
E02000018,20,12
E02000019,20.96774194,13
E02000020,59.375,38
E02000021,48.14814815,39
E02000022,41.66666667,10
E02000023,53.125,17
E02000024,31.62393162,37
E02000025,20.54794521,15
E02000026,47.82608696,22
E02000027,15.84158416,16
E02000028,29.41176471,15
E02000029,27.5862069,16
E02000030,12.5,13
E02000031,32.92682927,27
E02000032,41.81818182,23
E02000033,13.92405063,11
E02000034,46.26865672,31
E02000035,19.3877551,19
E02000036,45.94594595,34
E02000037,38.59649123,22
E02000038,39.0625,50
E02000039,35.13513514,13
E02000040,83.67346939,41
E02000041,55.84415584,43
E02000042,24.79338843,30
E02000043,18.18181818,10
E02000044,27.77777778,15
E02000045,-3.448275862,-2
E02000046,-26,-13
E02000047,20,19
E02000048,27.86885246,17
E02000049,26.82926829,11
E02000050,55.35714286,31
E02000051,36.50793651,23
E02000052,8.771929825,5
E02000053,41.30434783,19
E02000054,9.090909091,4
E02000055,3.333333333,3
E02000056,53.62318841,37
E02000057,26,13
E02000058,34.7826087,24
E02000059,92.42424242,61
E02000060,22.85714286,24
E02000061,20.23809524,17
E02000062,10.41666667,5
E02000063,23.63636364,13
E02000064,-40,-18
E02000065,80,36
E02000066,17.14285714,12
E02000067,11.94029851,8
E02000068,14,7
E02000069,3.846153846,3
E02000070,-2.43902439,-2
E02000071,26.2295082,16
E02000072,11.36363636,10
E02000073,35.16483516,32
E02000074,21.51898734,17
E02000075,30.37974684,24
E02000077,2.380952381,2
E02000078,45.94594595,34
E02000079,23.48993289,35
E02000080,36.14457831,30
E02000081,20.40816327,20
E02000082,18.66666667,14
E02000083,23.07692308,21
E02000084,3,3
E02000085,-13.33333333,-10
E02000086,13.33333333,8
E02000087,7.608695652,7
E02000088,14.28571429,10
E02000089,23.30097087,24
E02000090,28.72928177,52
E02000091,19.28571429,27
E02000092,-4.545454545,-4
E02000093,44.57831325,37
E02000094,-17.10526316,-13
E02000095,23.07692308,15
E02000096,46.42857143,26
E02000097,29.31034483,17
E02000098,11.45833333,11
E02000099,27.5,11
E02000100,21.875,14
E02000101,31.52173913,29
E02000102,21.42857143,9
E02000103,58,29
E02000104,33.33333333,27
E02000105,20.75471698,11
E02000106,68,34
E02000107,45.28301887,24
E02000108,28.88888889,13
E02000109,55.17241379,32
E02000110,50,19
E02000111,25.92592593,21
E02000112,42.25352113,30
E02000113,76.92307692,40
E02000114,30.95238095,13
E02000115,26.31578947,15
E02000116,84.09090909,37
E02000117,76.54320988,62
E02000118,71.69811321,38
E02000119,28.57142857,24
E02000120,40.90909091,18
E02000121,117.0731707,48
E02000122,24.07407407,13
E02000123,33.33333333,25
E02000124,48.93617021,23
E02000125,8.196721311,5
E02000126,34.14634146,14
E02000127,2.325581395,2
E02000128,44.44444444,32
E02000130,31.37254902,16
E02000131,40.54054054,15
E02000132,42.5,34
E02000133,3.100775194,4
E02000134,-7.96460177,-9
E02000135,45.74468085,43
E02000136,18.55670103,18
E02000137,-1.470588235,-2
E02000138,3.529411765,3
E02000139,16.32653061,8
E02000140,21.33333333,16
E02000141,65,26
E02000142,22.91666667,22
E02000144,25,15
E02000145,-1.388888889,-1
E02000146,-9.74025974,-15
E02000147,1.388888889,1
E02000148,4.761904762,3
E02000149,17.56756757,13
E02000150,8.955223881,6
E02000151,19.35483871,12
E02000152,5.555555556,4
E02000153,3.448275862,2
E02000154,-18.75,-15
E02000155,0,0
E02000156,19.42446043,27
E02000157,28.94736842,22
