"MSOA11CD","total_cases"
"E02000002",880
"E02000003",1348
"E02000004",720
"E02000005",1140
"E02000007",930
"E02000008",1469
"E02000009",1374
"E02000010",992
"E02000011",809
"E02000012",1594
"E02000013",993
"E02000014",1165
"E02000015",911
"E02000016",1040
"E02000017",1134
"E02000018",983
"E02000019",1000
"E02000020",1514
"E02000021",973
"E02000022",670
"E02000023",800
"E02000024",758
"E02000025",573
"E02000026",507
"E02000027",729
"E02000028",466
"E02000029",671
"E02000030",699
"E02000031",605
"E02000032",694
"E02000033",733
"E02000034",705
"E02000035",582
"E02000036",898
"E02000037",875
"E02000038",831
"E02000039",549
"E02000040",694
"E02000041",747
"E02000042",811
"E02000043",470
"E02000044",769
"E02000045",821
"E02000046",437
"E02000047",1113
"E02000048",834
"E02000049",961
"E02000050",700
"E02000051",699
"E02000052",587
"E02000053",1444
"E02000054",632
"E02000055",1027
"E02000056",567
"E02000057",645
"E02000058",655
"E02000059",1020
"E02000060",976
"E02000061",673
"E02000062",627
"E02000063",741
"E02000064",519
"E02000065",641
"E02000066",735
"E02000067",878
"E02000068",736
"E02000069",623
"E02000070",741
"E02000071",763
"E02000072",1178
"E02000073",1013
"E02000074",943
"E02000075",711
"E02000077",742
"E02000078",765
"E02000079",835
"E02000080",896
"E02000081",745
"E02000082",950
"E02000083",978
"E02000084",987
"E02000085",769
"E02000086",670
"E02000087",604
"E02000088",556
"E02000089",738
"E02000090",899
"E02000091",867
"E02000092",562
"E02000093",1162
"E02000094",946
"E02000095",791
"E02000096",575
"E02000097",782
"E02000098",835
"E02000099",750
"E02000100",807
"E02000101",900
"E02000102",674
"E02000103",923
"E02000104",677
"E02000105",906
"E02000106",920
"E02000107",909
"E02000108",584
"E02000109",1322
"E02000110",564
"E02000111",1022
"E02000112",1061
"E02000113",879
"E02000114",724
"E02000115",699
"E02000116",801
"E02000117",1074
"E02000118",981
"E02000119",889
"E02000120",626
"E02000121",1056
"E02000122",578
"E02000123",1159
"E02000124",661
"E02000125",704
"E02000126",621
"E02000127",774
"E02000128",626
"E02000130",579
"E02000131",661
"E02000132",731
"E02000133",722
"E02000134",896
"E02000135",874
"E02000136",519
"E02000137",620
"E02000138",510
"E02000139",547
"E02000140",746
"E02000141",495
"E02000142",616
"E02000144",707
"E02000145",677
"E02000146",745
"E02000147",522
"E02000148",400
"E02000149",717
"E02000150",628
"E02000151",417
"E02000152",615
"E02000153",618
"E02000154",629
"E02000155",465
"E02000156",926
"E02000157",556
"E02000158",495
"E02000159",588
"E02000160",625
"E02000161",547
"E02000162",542
"E02000163",483
"E02000165",517
"E02000166",479
"E02000167",320
"E02000168",531
"E02000169",395
"E02000170",517
"E02000171",455
"E02000172",878
"E02000173",402
"E02000174",591
"E02000175",506
"E02000176",297
"E02000177",539
"E02000178",692
"E02000179",351
"E02000180",548
"E02000181",552
"E02000182",448
"E02000183",372
"E02000184",575
"E02000185",719
"E02000186",442
"E02000187",755
"E02000188",560
"E02000189",350
"E02000190",372
"E02000191",409
"E02000192",402
"E02000193",309
"E02000194",664
"E02000195",900
"E02000196",817
"E02000197",898
"E02000198",774
"E02000199",721
"E02000200",662
"E02000201",591
"E02000202",731
"E02000203",684
"E02000204",876
"E02000206",845
"E02000207",732
"E02000208",867
"E02000209",858
"E02000210",632
"E02000211",662
"E02000212",749
"E02000213",1000
"E02000214",479
"E02000215",827
"E02000216",511
"E02000217",929
"E02000218",498
"E02000219",620
"E02000220",1019
"E02000221",883
"E02000222",600
"E02000223",730
"E02000224",611
"E02000225",717
"E02000226",552
"E02000227",828
"E02000228",514
"E02000229",603
"E02000230",742
"E02000231",593
"E02000232",523
"E02000233",459
"E02000234",640
"E02000235",470
"E02000236",495
"E02000237",474
"E02000238",984
"E02000239",760
"E02000240",947
"E02000241",682
"E02000242",727
"E02000243",713
"E02000244",684
"E02000245",787
"E02000246",878
"E02000247",1102
"E02000248",545
"E02000249",807
"E02000250",452
"E02000251",930
"E02000252",1035
"E02000253",823
"E02000254",1102
"E02000255",716
"E02000256",615
"E02000257",942
"E02000258",503
"E02000259",468
"E02000260",997
"E02000261",1080
"E02000262",679
"E02000263",1454
"E02000264",647
"E02000265",766
"E02000266",1404
"E02000267",548
"E02000268",604
"E02000269",489
"E02000270",601
"E02000271",419
"E02000272",377
"E02000274",1901
"E02000275",906
"E02000276",425
"E02000277",713
"E02000278",954
"E02000279",1121
"E02000280",752
"E02000281",870
"E02000282",983
"E02000283",884
"E02000284",621
"E02000285",602
"E02000286",665
"E02000287",613
"E02000288",1110
"E02000289",555
"E02000290",597
"E02000291",869
"E02000292",922
"E02000293",553
"E02000294",1068
"E02000295",735
"E02000296",949
"E02000297",838
"E02000298",645
"E02000299",875
"E02000300",721
"E02000301",880
"E02000302",829
"E02000303",797
"E02000304",592
"E02000305",779
"E02000306",840
"E02000307",1023
"E02000308",663
"E02000309",995
"E02000311",1007
"E02000312",871
"E02000313",509
"E02000314",1314
"E02000315",867
"E02000316",1014
"E02000317",561
"E02000318",989
"E02000319",792
"E02000320",617
"E02000321",595
"E02000323",1105
"E02000324",602
"E02000326",508
"E02000327",570
"E02000328",404
"E02000329",486
"E02000331",716
"E02000332",551
"E02000333",377
"E02000334",556
"E02000335",489
"E02000337",710
"E02000339",427
"E02000340",575
"E02000341",674
"E02000342",525
"E02000343",595
"E02000344",535
"E02000345",867
"E02000346",714
"E02000347",712
"E02000348",716
"E02000350",869
